groupid,date_joined,institution_name,campus_name,type_inst,city,state,zip,work_ph,cell_ph,home_ph,fte_count,net_student_tuition,federal03,state03,state_local_app,federal07,federal07_net_pell,state06,local06,state_local_grant_contract,federal10,federal10_net_pell,state09,fed_state_loc_grants_con,private03,endowment03,priv_invest_endow,auxother_rev,stable_operating_rev,total03_revenue
-100724,1993,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,,4925929677,8834384551,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,146.2,0.674556486
-100724,1994,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,5019484995,5316645704,7159329918,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,150.4,0.69393499
-100724,1995,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,5726295920,7568527291,6209050383,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,154.5,0.7128521
-100724,1996,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,6006151061,4098341207,8782381745,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,158.9,0.73315339
-100724,1997,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,,,7872813863,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,161.7,0.746072393
-100724,1998,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,,7778010639,1363818767,1,1,5,6,3,1,21,2,2,18,2,2,0,2,1,0,-1,-1,164.5,0.758991395
-100724,1999,Alabama State University,Alabama State,66,Montgomery,AL,36101-027,3255209401,4126487154,3415619363,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,111.2,0.513068955
-100733,1987,University of Alabama System Office,,66,Tuscaloosa,AL,35401,2205821833,2086880923,5998375789,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,115.8,0.534293031
-100733,1988,University of Alabama System Office,,66,Tuscaloosa,AL,35401,,8164577943,3048641040,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,121.2,0.55920825
-100733,1989,University of Alabama System Office,,66,Tuscaloosa,AL,35401,,,7375371034,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,127,0.585969041
-100733,1990,University of Alabama System Office,,66,Tuscaloosa,AL,35401,2598758981,9235949536,1703010475,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,133.9,0.617805154
-100733,1991,University of Alabama System Office,,66,Tuscaloosa,AL,35401,2451358498,8886525043,4153082387,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,138.2,0.63764505
-100733,1992,University of Alabama System Office,,66,Tuscaloosa,AL,35401,,6393705098,7803344802,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,142.5,0.657484947
-100733,1993,University of Alabama System Office,,66,Tuscaloosa,AL,35401,8668097455,9598609277,7573926932,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,146.2,0.674556486
-100733,1994,University of Alabama System Office,,66,Tuscaloosa,AL,35401,3614056086,4509592953,6834093338,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,150.4,0.69393499
-100733,1995,University of Alabama System Office,,66,Tuscaloosa,AL,35401,9066666312,1272774554,7756699168,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,154.5,0.7128521
-100733,1996,University of Alabama System Office,,66,Tuscaloosa,AL,35401,2846848999,9246418566,1285494840,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,158.9,0.73315339
-100733,1997,University of Alabama System Office,,66,Tuscaloosa,AL,35401,,,2448640852,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,161.7,0.746072393
-100733,1998,University of Alabama System Office,,66,Tuscaloosa,AL,35401,,7672493196,9749288679,1,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,164.5,0.758991395
-100733,1999,University of Alabama System Office,,66,Tuscaloosa,AL,35401,4341767493,8044164608,3484470828,2,1,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,111.2,0.513068955
-100742,1987,ALABAMA TECHNICAL COLLEGE,,69,GADSDEN,AL,35999,3358054051,,5067034794,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,111.2,0.513068955
1733,1987,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,,5459908660,2117803253,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,115.8,0.534293031
1733,1988,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,,7015514173,9528271531,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,121.2,0.55920825
1733,1989,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,8263396768,,8147380709,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,127,0.585969041
1733,1990,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,5366789545,2617161332,5813176690,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,133.9,0.617805154
1733,1991,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,,6938872236,4955959315,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,138.2,0.63764505
1733,1992,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,6217916256,4515438585,1927137387,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,142.5,0.657484947
1733,1993,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,1228594502,5512068034,5096004174,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,146.2,0.674556486
1733,1994,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,7265765051,5046066452,5113482151,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,150.4,0.69393499
1733,1995,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,,4866617737,9272022769,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,154.5,0.7128521
1733,1996,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,5472708765,,2778915639,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,158.9,0.73315339
1733,1997,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,7012979288,5772261862,2672192397,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,161.7,0.746072393
1733,1998,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,6177738352,6973224225,2464512622,1,1,5,6,3,1,15,1,1,16,1,1,1,2,2,0,-1,-1,164.5,0.758991395
1733,1999,The University of Alabama,UA Tuscaloosa,66,Tuscaloosa,AL,35487-016,1436775223,5711481628,6769229358,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,111.2,0.513068955
-100760,1987,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,,9528371269,9408924624,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,115.8,0.534293031
-100760,1988,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,3462798856,5087636817,1091316967,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,121.2,0.55920825
-100760,1989,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,1816936332,1721522738,6865618511,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,127,0.585969041
-100760,1990,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,2481297627,,6983062232,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,133.9,0.617805154
-100760,1991,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,1696387540,8777340824,8872088769,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,138.2,0.63764505
-100760,1992,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,2645110309,2156776059,1631573059,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,142.5,0.657484947
-100760,1993,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,2593007956,4625694224,2518783432,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,146.2,0.674556486
-100760,1994,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,1102623663,,9985036458,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,150.4,0.69393499
-100760,1995,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,,,6875133598,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,154.5,0.7128521
-100760,1996,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,5029229452,3079290964,4183834542,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,158.9,0.73315339
-100760,1997,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,5483899114,3177334292,7746069131,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,161.7,0.746072393
-100760,1998,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,3349414860,5552765329,8795028487,2,1,5,6,3,1,40,4,3,2,4,3,0,2,2,0,-1,-1,164.5,0.758991395
-100760,1999,Central Alabama Community College,Central Alabama Community College,30,Alexander City,AL,35010,,2342240238,2024227856,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,111.2,0.513068955
-100779,1987,AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH,,74,HUNTSVILLE,AL,358015611,1934713053,8295699630,9231532000,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,115.8,0.534293031
-100779,1988,AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH,,74,HUNTSVILLE,AL,358015611,8481612725,,8665068306,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,121.2,0.55920825
-100779,1989,AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH,,74,HUNTSVILLE,AL,358015611,7065036213,9354270053,8515850118,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,127,0.585969041
-100779,1990,AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH,,74,HUNTSVILLE,AL,358015611,5183144953,,2747020567,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,133.9,0.617805154
-100779,1991,AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH,,74,HUNTSVILLE,AL,358015611,,,3054063286,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,138.2,0.63764505
-100779,1992,AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH,,74,HUNTSVILLE,AL,358015611,6786007857,5232302690,7749031350,1,2,5,6,3,1,-3,,,-3,,,0,2,2,0,-1,-1,142.5,0.657484947
