REGION,COUNTY,WUG Name,RIVER BASIN,P2020,P2030,P2040,P2050,P2060,P2070
C,KAUFMAN,ABLES SPRINGS WSC,SABINE,2850,3570,4396,5346,6451,7714
C,KAUFMAN,ABLES SPRINGS WSC,TRINITY,1885,2361,2906,3534,4265,5100
C,KAUFMAN,COLLEGE MOUND WSC,TRINITY,11745,14711,18112,22024,30000,38000
C,KAUFMAN,COMBINE,TRINITY,1881,2356,2901,3528,4258,5091
C,KAUFMAN,COUNTY-OTHER,SABINE,301,510,765,1508,1453,2906
C,KAUFMAN,COUNTY-OTHER,TRINITY,15528,16583,23667,36492,63547,87094
C,KAUFMAN,CRANDALL,TRINITY,4295,5379,6623,8000,8000,8000
C,KAUFMAN,FORNEY,TRINITY,22033,26000,33978,41317,60000,80000
C,KAUFMAN,FORNEY LAKE WSC,TRINITY,5043,6317,7777,9457,16000,23000
C,KAUFMAN,GASTONIA-SCURRY SUD,TRINITY,9508,11910,14663,17830,30000,45000
C,KAUFMAN,HIGH POINT WSC,TRINITY,4927,6172,7599,9240,15000,20000
C,KAUFMAN,KAUFMAN,TRINITY,8000,10000,12500,18890,24445,30000
C,KAUFMAN,KEMP,TRINITY,1734,2172,2674,3252,5000,7000
C,KAUFMAN,MABANK,TRINITY,3200,3800,4400,6371,9000,12000
C,KAUFMAN,MACBEE SUD,SABINE,233,291,359,436,526,629
C,KAUFMAN,MACBEE SUD,TRINITY,33,42,51,62,75,90
C,KAUFMAN,MESQUITE,TRINITY,139,175,215,262,316,378
C,KAUFMAN,OAK GROVE,TRINITY,800,1000,1200,1850,2500,5000
C,KAUFMAN,POST OAK BEND CITY,TRINITY,800,1000,1200,1850,2500,5000
C,KAUFMAN,ROSE HILL SUD,TRINITY,5278,6611,8139,9897,13000,20000
C,KAUFMAN,SCURRY,TRINITY,850,1050,1250,1919,2700,6000
C,KAUFMAN,SEAGOVILLE,TRINITY,30,37,46,56,68,81
C,KAUFMAN,SEVEN POINTS,TRINITY,105,131,162,197,238,284
C,KAUFMAN,TALTY,TRINITY,2306,2889,3557,4325,6000,10000
C,KAUFMAN,TALTY WSC,TRINITY,9663,11103,12902,18121,23000,30000
C,KAUFMAN,TERRELL,TRINITY,23769,43403,52959,65689,76235,88473
C,KAUFMAN,WEST CEDAR CREEK MUD,TRINITY,9687,12134,14939,18166,24000,35000
C,NAVARRO,BLOOMING GROVE,TRINITY,909,1002,1098,1208,1323,1445
C,NAVARRO,BRANDON-IRENE WSC,TRINITY,214,236,259,284,311,340
C,NAVARRO,CHATFIELD WSC,TRINITY,4300,4400,4500,4600,4700,4800
C,NAVARRO,CORBET WSC,TRINITY,2865,3159,3462,3808,4170,4556
C,NAVARRO,CORSICANA,TRINITY,26298,28997,31785,34959,38279,41823
C,NAVARRO,COUNTY-OTHER,TRINITY,5475,5475,5475,10000,20000,35000
C,NAVARRO,DAWSON,TRINITY,893,985,1080,1187,1300,1420
C,NAVARRO,FROST,TRINITY,712,785,860,946,1036,1132
C,NAVARRO,KERENS,TRINITY,1741,1919,2104,2314,2534,2768
C,NAVARRO,M-E-N WSC,TRINITY,3346,3689,4044,4448,4870,5321
C,NAVARRO,NAVARRO MILLS WSC,TRINITY,3308,3648,3999,4398,4816,5261
C,NAVARRO,RICE,TRINITY,1022,1126,1235,1358,1487,1625
C,NAVARRO,RICE WSC,TRINITY,1461,1611,1766,1942,2126,2323
C,PARKER,ALEDO,TRINITY,5320,8320,12620,13258,13258,13258
C,PARKER,ANNETTA,TRINITY,1678,2068,2458,2848,3238,3628
C,PARKER,ANNETTA NORTH,TRINITY,559,608,664,729,804,891
C,PARKER,ANNETTA SOUTH,TRINITY,526,526,526,526,526,526
C,PARKER,AZLE,TRINITY,2371,2571,2774,2979,3600,4618
C,PARKER,COUNTY-OTHER,BRAZOS,32045,41336,46271,58028,76704,101627
C,PARKER,COUNTY-OTHER,TRINITY,22063,12772,7837,17870,40206,80283
C,PARKER,CRESSON,TRINITY,451,505,566,637,720,815
C,PARKER,FORT WORTH,TRINITY,62864,99172,114490,126035,134456,142877
C,PARKER,HUDSON OAKS,TRINITY,2673,3684,4695,4808,4808,4808
C,PARKER,MINERAL WELLS,BRAZOS,2119,2089,2055,2015,1969,1915
C,PARKER,PARKER COUNTY SUD,BRAZOS,6162,8161,10420,13069,16140,19687
C,PARKER,RENO,TRINITY,2520,2563,2611,2667,2732,2807
C,PARKER,SPRINGTOWN,TRINITY,4079,5500,5500,5500,5500,5500
C,PARKER,WALNUT CREEK SUD,TRINITY,19464,23141,27428,35627,52869,69317
C,PARKER,WEATHERFORD,BRAZOS,1690,2025,2403,3920,6160,9000
C,PARKER,WEATHERFORD,TRINITY,28494,34132,40505,66080,103840,151720
C,PARKER,WILLOW PARK,TRINITY,4877,5960,7184,10000,13000,16000
C,ROCKWALL,BLACKLAND WSC,SABINE,1513,1620,1741,1864,2000,2145
C,ROCKWALL,BLACKLAND WSC,TRINITY,1805,1932,2077,2223,2387,2560
C,ROCKWALL,CASH SUD,SABINE,1189,1540,1939,2342,2792,3269
C,ROCKWALL,COUNTY-OTHER,SABINE,1401,1600,1715,1911,3097,4200
C,ROCKWALL,COUNTY-OTHER,TRINITY,2126,1927,1812,1616,8903,15800
C,ROCKWALL,DALLAS,TRINITY,77,103,132,162,195,230
C,ROCKWALL,EAST FORK SUD,TRINITY,461,645,854,1066,1303,1554
C,ROCKWALL,FATE,SABINE,5252,6661,8264,8885,9695,14895
C,ROCKWALL,FATE,TRINITY,4573,7422,10660,14936,19595,30105
C,ROCKWALL,FORNEY LAKE WSC,TRINITY,478,601,741,883,1041,1209
C,ROCKWALL,GARLAND,TRINITY,3,4,4,5,6,7
C,ROCKWALL,HEATH,TRINITY,12107,24300,24300,24300,24300,24300
C,ROCKWALL,HIGH POINT WSC,TRINITY,328,413,509,607,716,831
C,ROCKWALL,LAVON SUD,SABINE,1040,1560,2080,3120,4160,5200
C,ROCKWALL,LAVON SUD,TRINITY,960,1440,1920,2880,3840,4800
C,ROCKWALL,MCLENDON-CHISHOLM,TRINITY,1739,2188,2698,3215,3792,4403
C,ROCKWALL,MOUNT ZION WSC,TRINITY,1985,2497,3080,3669,4327,5025
C,ROCKWALL,ROCKWALL,TRINITY,47474,59732,73669,87768,103514,120202
C,ROCKWALL,ROWLETT,TRINITY,7700,7700,7700,7700,7700,7700
C,ROCKWALL,ROYSE CITY,SABINE,8861,9500,11000,25000,42000,49094
C,ROCKWALL,WYLIE,TRINITY,3815,3919,4023,4127,4231,4441
C,TARRANT,ARLINGTON,TRINITY,387725,412746,421748,426308,428127,428403
C,TARRANT,AZLE,TRINITY,9486,10283,11094,11918,14400,18472
C,TARRANT,BEDFORD,TRINITY,48100,51983,55866,59750,59750,59750
C,TARRANT,BENBROOK,TRINITY,22500,25000,27500,32833,48095,48095
C,TARRANT,BETHESDA WSC,TRINITY,9073,10201,11316,12401,13488,14552
C,TARRANT,BLUE MOUND,TRINITY,2398,2403,2408,2413,2418,2422
C,TARRANT,BURLESON,TRINITY,8634,9000,10000,14000,17000,19000
C,TARRANT,COLLEYVILLE,TRINITY,24000,25500,27000,28000,28000,28000
C,TARRANT,COMMUNITY WSC,TRINITY,3498,3933,4363,4781,5200,5610
C,TARRANT,COUNTY-OTHER,TRINITY,36012,36012,36012,60000,80000,110000
C,TARRANT,CROWLEY,TRINITY,16301,19046,22751,27354,35000,40000
C,TARRANT,DALWORTHINGTON GARDENS,TRINITY,2307,2359,2410,2460,2510,2559
C,TARRANT,EDGECLIFF VILLAGE,TRINITY,2924,2924,2924,2924,2924,2924
C,TARRANT,EULESS,TRINITY,54214,57150,57150,57150,57150,57150
C,TARRANT,EVERMAN,TRINITY,6286,6477,6600,6600,6600,6600
C,TARRANT,FLOWER MOUND,TRINITY,240,270,270,270,270,270
C,TARRANT,FOREST HILL,TRINITY,13000,13788,15000,18000,23000,30000
C,TARRANT,FORT WORTH,TRINITY,842750,1034608,1273035,1385808,1482797,1580787
C,TARRANT,GRAND PRAIRIE,TRINITY,51864,51864,51864,51864,51864,51864
C,TARRANT,GRAPEVINE,TRINITY,52414,58930,60000,60000,60000,60000
C,TARRANT,HALTOM CITY,TRINITY,44000,45000,47000,51000,55000,60000
C,TARRANT,HASLET,TRINITY,1630,2000,2303,5000,7000,8000
C,TARRANT,HURST,TRINITY,40000,41000,41000,41000,41000,41000
C,TARRANT,JOHNSON COUNTY SUD,TRINITY,2082,2341,2597,2846,3095,3339
C,TARRANT,KELLER,TRINITY,47663,51310,51310,51310,51310,51310
C,TARRANT,KENNEDALE,TRINITY,8000,9200,10824,11303,11626,11626
C,TARRANT,LAKE WORTH,TRINITY,5186,5831,6468,7500,8800,12000
C,TARRANT,LAKESIDE,TRINITY,1350,1400,1450,1500,1500,1500
C,TARRANT,MANSFIELD,TRINITY,69254,81090,97865,129090,149065,170503
C,TARRANT,NORTH RICHLAND HILLS,TRINITY,71655,77000,77000,77000,77000,77000
C,TARRANT,PANTEGO,TRINITY,2400,2400,2400,2400,2400,2400
C,TARRANT,PELICAN BAY,TRINITY,1575,1605,1635,1664,1693,1721
C,TARRANT,RENO,TRINITY,15,22,29,36,43,49
C,TARRANT,RICHLAND HILLS,TRINITY,8401,9001,9601,10850,12000,13500
C,TARRANT,RIVER OAKS,TRINITY,7500,7500,7500,7500,7500,7500
C,TARRANT,SAGINAW,TRINITY,23004,26202,29400,31000,31000,31000
C,TARRANT,SANSOM PARK,TRINITY,4800,5100,5723,6064,6406,6740
C,TARRANT,SOUTHLAKE,TRINITY,26800,30000,35000,40000,45000,50000
C,TARRANT,TROPHY CLUB,TRINITY,902,902,902,902,902,902
C,TARRANT,WATAUGA,TRINITY,25000,25000,25000,25000,25000,25000
C,TARRANT,WESTLAKE,TRINITY,1175,1767,2566,3090,3615,4129
C,TARRANT,WESTOVER HILLS,TRINITY,698,715,732,749,766,782
C,TARRANT,WESTWORTH VILLAGE,TRINITY,2700,2945,3187,3422,3658,3889
C,TARRANT,WHITE SETTLEMENT,TRINITY,16957,17858,18750,22000,28000,34000
C,WISE,ALVORD,TRINITY,1625,1957,2297,2800,3200,3600
C,WISE,AURORA,TRINITY,1546,1918,2300,2800,3300,3900
C,WISE,BOLIVAR WSC,TRINITY,1232,1420,1614,1827,2054,2294
C,WISE,BOYD,TRINITY,1303,1413,2000,2500,3500,3800
C,WISE,BRIDGEPORT,TRINITY,7456,9144,10875,15000,20000,25000
C,WISE,CHICO,TRINITY,1051,1107,1165,2200,2800,3500
C,WISE,COUNTY-OTHER,TRINITY,30543,30543,30543,45000,58000,70000
C,WISE,DECATUR,TRINITY,8508,11738,15253,19751,23225,27000
C,WISE,FORT WORTH,TRINITY,12089,17356,22400,28808,35075,41342
C,WISE,NEW FAIRVIEW,TRINITY,1597,1983,2379,2900,3400,4000
C,WISE,NEWARK,TRINITY,1772,2339,3302,4458,6216,8300
C,WISE,RHOME,TRINITY,2384,3368,4377,7000,9400,12000
C,WISE,RUNAWAY BAY,TRINITY,1448,1633,1822,2200,2500,3000
C,WISE,WALNUT CREEK SUD,TRINITY,3869,5235,6636,8182,12131,15683
C,WISE,WEST WISE SUD,TRINITY,3459,3580,3705,3835,3969,4108
D,BOWIE,CENTRAL BOWIE COUNTY WSC,RED,1199,1233,1244,1244,1244,1244
D,BOWIE,CENTRAL BOWIE COUNTY WSC,SULPHUR,6453,6636,6693,6693,6693,6693
D,BOWIE,COUNTY-OTHER,RED,6834,7028,7088,7088,7088,7088
D,BOWIE,COUNTY-OTHER,SULPHUR,13078,13561,13712,13712,13712,13712
D,BOWIE,DE KALB,RED,267,275,277,277,277,277
D,BOWIE,DE KALB,SULPHUR,1490,1532,1545,1545,1545,1545
D,BOWIE,HOOKS,RED,2863,2944,2970,2970,2970,2970
D,BOWIE,MACEDONIA-EYLAU MUD #1,SULPHUR,8397,8530,8572,8572,8572,8572
D,BOWIE,MAUD,SULPHUR,1092,1123,1133,1133,1133,1133
D,BOWIE,NASH,SULPHUR,3061,3148,3175,3175,3175,3175
D,BOWIE,NEW BOSTON,RED,1383,1422,1435,1435,1435,1435
D,BOWIE,NEW BOSTON,SULPHUR,3322,3416,3445,3445,3445,3445
D,BOWIE,RED LICK,RED,568,584,589,589,589,589
D,BOWIE,RED LICK,SULPHUR,475,488,492,492,492,492
D,BOWIE,REDWATER,SULPHUR,1093,1124,1134,1134,1134,1134
D,BOWIE,TEXAMERICAS CENTER,RED,91,93,94,94,94,94
D,BOWIE,TEXAMERICAS CENTER,SULPHUR,442,455,459,459,459,459
D,BOWIE,TEXARKANA,RED,4442,4568,4607,4607,4607,4607
D,BOWIE,TEXARKANA,SULPHUR,33204,34144,34439,34439,34439,34439
D,BOWIE,WAKE VILLAGE,SULPHUR,5949,6109,6160,6160,6160,6160
D,CAMP,BI COUNTY WSC,CYPRESS,6842,8224,9305,10587,11779,12941
D,CAMP,COUNTY-OTHER,CYPRESS,2012,1715,1483,1208,952,702
D,CAMP,PITTSBURG,CYPRESS,4701,4934,5116,5332,5533,5729
D,CASS,ATLANTA,CYPRESS,5772,5812,5812,5812,5812,5812
D,CASS,ATLANTA,SULPHUR,6,6,6,6,6,6
D,CASS,COUNTY-OTHER,CYPRESS,13965,14060,14060,14060,14060,14060
D,CASS,COUNTY-OTHER,SULPHUR,3885,3911,3911,3911,3911,3911
D,CASS,EASTERN CASS WSC,CYPRESS,1925,1939,1939,1939,1939,1939
D,CASS,EASTERN CASS WSC,SULPHUR,149,150,150,150,150,150
D,CASS,HUGHES SPRINGS,CYPRESS,1786,1799,1799,1799,1799,1799
D,CASS,LINDEN,CYPRESS,2025,2038,2038,2038,2038,2038
D,CASS,QUEEN CITY,CYPRESS,939,946,946,946,946,946
D,CASS,QUEEN CITY,SULPHUR,564,568,568,568,568,568
D,DELTA,COOPER,SULPHUR,2003,2024,2024,2024,2024,2024
D,DELTA,COUNTY-OTHER,SULPHUR,3079,3111,3111,3111,3111,3111
D,DELTA,NORTH HUNT SUD,SULPHUR,238,241,241,241,241,241
D,FRANKLIN,COUNTY-OTHER,CYPRESS,368,385,394,404,410,417
D,FRANKLIN,COUNTY-OTHER,SULPHUR,454,475,488,500,509,516
D,FRANKLIN,CYPRESS SPRINGS SUD,CYPRESS,4235,4427,4543,4655,4740,4806
D,FRANKLIN,CYPRESS SPRINGS SUD,SULPHUR,2535,2649,2718,2786,2836,2876
D,FRANKLIN,MOUNT VERNON,SULPHUR,2793,2919,2995,3069,3125,3169
D,FRANKLIN,WINNSBORO,CYPRESS,739,772,792,812,827,838
D,GREGG,CLARKSVILLE CITY,SABINE,948,1038,1141,1258,1389,1537
D,GREGG,COUNTY-OTHER,CYPRESS,860,942,1036,1142,1261,1396
D,GREGG,COUNTY-OTHER,SABINE,4678,5123,5631,6205,6853,7585
D,GREGG,CROSS ROADS SUD,SABINE,364,399,438,483,533,590
D,GREGG,EASTON,SABINE,502,550,605,666,735,814
D,GREGG,ELDERVILLE WSC,SABINE,3441,3769,4143,4566,5041,5579
D,GREGG,GLADEWATER,SABINE,4376,4792,5268,5806,6410,7094
D,GREGG,KILGORE,SABINE,10913,11951,13139,14480,15987,17694
D,GREGG,LAKEPORT,SABINE,1067,1169,1285,1416,1564,1730
D,GREGG,LIBERTY CITY WSC,SABINE,5014,5491,6037,6653,7346,8130
D,GREGG,LONGVIEW,SABINE,86085,94275,103640,114219,126114,139574
D,GREGG,TRYON ROAD SUD,CYPRESS,4167,4563,5016,5528,6104,6755
D,GREGG,TRYON ROAD SUD,SABINE,293,321,353,389,430,476
D,GREGG,WEST GREGG SUD,SABINE,3552,3890,4276,4713,5203,5759
D,GREGG,WHITE OAK,SABINE,7087,7761,8532,9403,10382,11490
D,HARRISON,COUNTY-OTHER,CYPRESS,16655,17885,19160,20949,22900,25196
D,HARRISON,COUNTY-OTHER,SABINE,10447,11221,12019,13143,14365,15809
D,HARRISON,DIANA SUD,CYPRESS,357,384,411,449,491,540
D,HARRISON,GILL WSC,SABINE,1456,1563,1675,1831,2001,2202
D,HARRISON,GUM SPRINGS WSC,CYPRESS,1962,2107,2257,2468,2697,2968
D,HARRISON,GUM SPRINGS WSC,SABINE,5340,5735,6144,6717,7342,8079
D,HARRISON,HALLSVILLE,SABINE,3834,4117,4411,4822,5271,5800
D,HARRISON,LONGVIEW,SABINE,2005,2153,2306,2521,2756,3032
D,HARRISON,MARSHALL,CYPRESS,4437,4765,5105,5581,6100,6713
D,HARRISON,MARSHALL,SABINE,20773,22309,23899,26130,28561,31427
D,HARRISON,TRYON ROAD SUD,CYPRESS,756,812,870,951,1039,1144
D,HARRISON,WASKOM,CYPRESS,2315,2487,2664,2912,3183,3503
D,HOPKINS,BRINKER WSC,SULPHUR,2252,2601,2919,3284,3636,3990
D,HOPKINS,CASH SUD,SABINE,101,109,116,124,132,139
D,HOPKINS,COMO,SABINE,573,628,678,736,791,847
D,HOPKINS,COMO,SULPHUR,201,220,238,258,278,297
D,HOPKINS,COUNTY-OTHER,CYPRESS,442,499,552,613,671,730
D,HOPKINS,COUNTY-OTHER,SABINE,4269,4203,4142,4071,4004,3936
D,HOPKINS,COUNTY-OTHER,SULPHUR,2243,2432,2604,2803,2994,3188
D,HOPKINS,CUMBY,SABINE,838,972,1094,1235,1371,1507
D,HOPKINS,CUMBY,SULPHUR,81,94,106,119,132,145
D,HOPKINS,CYPRESS SPRINGS SUD,CYPRESS,310,310,310,310,310,310
D,HOPKINS,CYPRESS SPRINGS SUD,SULPHUR,602,602,602,602,602,602
D,HOPKINS,JONES WSC,SABINE,140,169,195,225,254,283
D,HOPKINS,MARTIN SPRINGS WSC,SABINE,3195,3737,4233,4801,5349,5900
D,HOPKINS,MARTIN SPRINGS WSC,SULPHUR,584,684,774,878,978,1079
D,HOPKINS,NORTH HOPKINS WSC,SULPHUR,5907,6576,7186,7887,8563,9242
D,HOPKINS,SULPHUR SPRINGS,SABINE,49,51,53,56,58,61
D,HOPKINS,SULPHUR SPRINGS,SULPHUR,16191,17008,17753,18608,19433,20261
D,HUNT,ABLES SPRINGS WSC,SABINE,893,1368,2012,2902,4170,6013
D,HUNT,BLACKLAND WSC,SABINE,32,32,32,32,32,32
D,HUNT,CADDO BASIN SUD,SABINE,6337,8401,11201,15067,20576,28581
D,HUNT,CADDO MILLS,SABINE,1710,2214,2898,3843,5190,7147
D,HUNT,CAMPBELL,SABINE,727,903,1143,1473,1944,2629
D,HUNT,CAMPBELL,SULPHUR,50,62,78,101,133,180
D,HUNT,CASH SUD,SABINE,17740,21288,25545,30654,36784,44140
D,HUNT,CASH SUD,SULPHUR,252,302,363,435,522,627
D,HUNT,CELESTE,SABINE,991,1231,1558,2009,2651,3584
D,HUNT,COMBINED CONSUMERS SUD,SABINE,6063,7535,9531,12288,16216,21923
D,HUNT,COMMERCE,SULPHUR,8883,9975,11456,13502,16416,20651
D,HUNT,COUNTY-OTHER,SABINE,16719,23249,32662,46427,67453,99563
D,HUNT,COUNTY-OTHER,SULPHUR,1350,2091,3174,4559,7020,9959
D,HUNT,COUNTY-OTHER,TRINITY,259,297,277,372,37,206
D,HUNT,GREENVILLE,SABINE,28700,32964,38749,46738,58120,74659
D,HUNT,HICKORY CREEK SUD,SABINE,2045,2989,4269,6038,8558,12219
D,HUNT,HICKORY CREEK SUD,SULPHUR,1419,2076,2966,4195,5944,8488
D,HUNT,HICKORY CREEK SUD,TRINITY,700,1021,1459,2062,2924,4175
D,HUNT,JOSEPHINE,SABINE,131,232,369,559,559,559
D,HUNT,LONE OAK,SABINE,749,954,1232,1617,2165,2962
D,HUNT,MACBEE SUD,SABINE,337,419,530,683,902,1219
D,HUNT,NORTH HUNT SUD,SULPHUR,3483,4551,6000,8001,10851,14993
D,HUNT,QUINLAN,SABINE,1441,1505,1591,1711,1882,2130
D,HUNT,ROYSE CITY,SABINE,364,452,572,737,973,1316
D,HUNT,WEST TAWAKONI,SABINE,1800,2104,2516,3086,3898,5078
D,HUNT,WOLFE CITY,SULPHUR,1719,2136,2703,3484,4598,6217
D,LAMAR,BLOSSOM,SULPHUR,1566,1626,1671,1712,1744,1769
D,LAMAR,COUNTY-OTHER,RED,820,851,875,896,913,926
D,LAMAR,COUNTY-OTHER,SULPHUR,1887,1962,2016,2066,2103,2135
D,LAMAR,DEPORT,SULPHUR,552,573,589,603,614,623
D,LAMAR,LAMAR COUNTY WSD,RED,11919,12381,12722,13031,13272,13467
D,LAMAR,LAMAR COUNTY WSD,SULPHUR,5053,5248,5393,5524,5626,5708
D,LAMAR,PARIS,RED,10487,10893,11193,11465,11677,11848
D,LAMAR,PARIS,SULPHUR,15886,16501,16956,17368,17690,17949
D,LAMAR,RENO,RED,438,455,467,479,488,495
D,LAMAR,RENO,SULPHUR,2880,2991,3074,3148,3206,3253
D,LAMAR,ROXTON,SULPHUR,682,708,727,745,759,770
D,MARION,COUNTY-OTHER,CYPRESS,8100,8100,8100,8100,8100,8100
D,MARION,DIANA SUD,CYPRESS,384,384,384,384,384,384
D,MARION,JEFFERSON,CYPRESS,2117,2117,2117,2117,2117,2117
D,MORRIS,BI COUNTY WSC,CYPRESS,1276,1299,1325,1364,1395,1426
D,MORRIS,COUNTY-OTHER,CYPRESS,2833,2887,2945,3032,3102,3170
D,MORRIS,COUNTY-OTHER,SULPHUR,839,854,871,897,917,938
D,MORRIS,DAINGERFIELD,CYPRESS,2646,2695,2749,2829,2894,2958
D,MORRIS,HUGHES SPRINGS,CYPRESS,7,7,7,7,7,7
D,MORRIS,LONE STAR,CYPRESS,1634,1664,1698,1748,1787,1827
D,MORRIS,NAPLES,CYPRESS,644,656,669,688,704,720
D,MORRIS,NAPLES,SULPHUR,780,795,811,835,854,872
D,MORRIS,OMAHA,CYPRESS,627,639,652,671,685,701
D,MORRIS,OMAHA,SULPHUR,428,436,445,458,469,479
D,MORRIS,TRI SUD,CYPRESS,1650,1680,1714,1764,1804,1844
D,RAINS,ALBA,SABINE,3,3,3,3,3,3
D,RAINS,BRIGHT STAR-SALEM SUD,SABINE,2090,2216,2252,2276,2286,2291
D,RAINS,CASH SUD,SABINE,691,733,745,753,756,758
D,RAINS,COUNTY-OTHER,SABINE,5843,6196,6295,6364,6394,6408
D,RAINS,EAST TAWAKONI,SABINE,962,1020,1037,1048,1053,1055
D,RAINS,EMORY,SABINE,1350,1431,1455,1470,1477,1480
D,RAINS,GOLDEN WSC,SABINE,55,58,59,60,60,60
D,RAINS,POINT,SABINE,894,948,963,973,978,980
D,RED RIVER,BOGATA,SULPHUR,1164,1164,1164,1164,1164,1164
D,RED RIVER,CLARKSVILLE,SULPHUR,3315,3315,3315,3315,3315,3315
D,RED RIVER,COUNTY-OTHER,RED,944,848,751,655,98,11
D,RED RIVER,COUNTY-OTHER,SULPHUR,929,661,393,124,316,38
D,RED RIVER,DEPORT,SULPHUR,53,53,53,53,53,53
D,RED RIVER,DETROIT,SULPHUR,739,739,739,739,739,739
D,RED RIVER,RED RIVER COUNTY WSC,RED,1546,1642,1739,1835,2132,2229
D,RED RIVER,RED RIVER COUNTY WSC,SULPHUR,4286,4554,4822,5091,5159,5427
D,SMITH,COUNTY-OTHER,SABINE,11639,12990,14518,16307,18414,20921
D,SMITH,CRYSTAL SYSTEMS INC,SABINE,1970,2248,2564,2932,3367,3883
D,SMITH,HIDEAWAY,SABINE,3504,3998,4558,5214,5986,6904
D,SMITH,JACKSON WSC,SABINE,2150,2453,2797,3199,3673,4237
D,SMITH,LIBERTY CITY WSC,SABINE,136,155,177,202,233,268
D,SMITH,LINDALE,SABINE,4023,4882,5856,6996,8339,9935
D,SMITH,LINDALE RURAL WSC,SABINE,5487,6261,7139,8165,9375,10812
D,SMITH,OVERTON,SABINE,76,86,99,113,130,150
D,SMITH,SMITH COUNTY MUD #1,SABINE,1035,1181,1347,1540,1769,2040
D,SMITH,SOUTHERN UTILITIES COMPANY,SABINE,11958,13644,15557,17794,20430,23563
D,SMITH,TYLER,SABINE,999,1139,1299,1486,1706,1968
D,SMITH,WEST GREGG SUD,SABINE,909,1037,1182,1353,1553,1791
D,SMITH,WINONA,SABINE,654,747,851,974,1118,1290
D,TITUS,BI COUNTY WSC,CYPRESS,362,409,457,510,566,625
D,TITUS,COUNTY-OTHER,CYPRESS,1798,2031,2271,2536,2814,3108
D,TITUS,COUNTY-OTHER,SULPHUR,1368,1544,1728,1929,2141,2364
D,TITUS,CYPRESS SPRINGS SUD,CYPRESS,90,101,113,127,140,155
D,TITUS,CYPRESS SPRINGS SUD,SULPHUR,144,163,182,203,226,249
D,TITUS,MOUNT PLEASANT,CYPRESS,17639,19919,22279,24869,27596,30477
D,TITUS,TALCO,SULPHUR,585,661,739,825,915,1011
D,TITUS,TRI SUD,CYPRESS,9252,10448,11686,13044,14475,15986
D,TITUS,TRI SUD,SULPHUR,4811,5434,6077,6784,7527,8313
D,TITUS,WINFIELD,CYPRESS,151,171,192,214,237,262
D,TITUS,WINFIELD,SULPHUR,443,500,559,624,693,765
D,UPSHUR,BI COUNTY WSC,CYPRESS,3872,4183,4451,4727,4979,5216
D,UPSHUR,BIG SANDY,SABINE,1459,1577,1678,1781,1877,1966
D,UPSHUR,COUNTY-OTHER,CYPRESS,8899,9615,10233,10866,11448,11991
D,UPSHUR,COUNTY-OTHER,SABINE,4255,4595,4891,5195,5472,5731
D,UPSHUR,DIANA SUD,CYPRESS,4868,5259,5596,5943,6260,6557
D,UPSHUR,EAST MOUNTAIN,CYPRESS,241,260,277,294,310,324
D,UPSHUR,EAST MOUNTAIN,SABINE,625,676,719,763,804,843
D,UPSHUR,FOUKE WSC,SABINE,97,105,112,119,125,131
D,UPSHUR,GILMER,CYPRESS,5328,5757,6126,6505,6853,7178
D,UPSHUR,GLADEWATER,SABINE,2658,2872,3056,3245,3419,3581
D,UPSHUR,ORE CITY,CYPRESS,1243,1343,1429,1518,1599,1674
D,UPSHUR,PRITCHETT WSC,CYPRESS,2159,2333,2483,2636,2777,2909
D,UPSHUR,PRITCHETT WSC,SABINE,5200,5618,5978,6349,6688,7005
D,UPSHUR,SHARON WSC,CYPRESS,1792,1936,2060,2187,2304,2413
D,VAN ZANDT,ABLES SPRINGS WSC,SABINE,34,37,40,42,45,46
D,VAN ZANDT,BETHEL-ASH WSC,NECHES,714,934,1103,1271,1409,1528
D,VAN ZANDT,BETHEL-ASH WSC,TRINITY,201,264,311,358,398,431
D,VAN ZANDT,CANTON,SABINE,3947,4316,4598,4877,5109,5308
D,VAN ZANDT,CANTON,TRINITY,16,17,18,20,21,21
D,VAN ZANDT,COMBINED CONSUMERS SUD,SABINE,1105,1212,1294,1376,1444,1502
D,VAN ZANDT,COUNTY-OTHER,NECHES,8782,9132,9398,9663,9885,10073
D,VAN ZANDT,COUNTY-OTHER,SABINE,11594,12900,13899,14892,15715,16421
D,VAN ZANDT,COUNTY-OTHER,TRINITY,6515,7293,7888,8478,8969,9392
D,VAN ZANDT,EDGEWOOD,SABINE,1564,1683,1774,1864,1939,2003
D,VAN ZANDT,GOLDEN WSC,SABINE,700,758,803,847,884,915
D,VAN ZANDT,GRAND SALINE,SABINE,3278,3416,3521,3626,3713,3787
D,VAN ZANDT,MACBEE SUD,SABINE,2619,2874,3068,3262,3423,3561
D,VAN ZANDT,MACBEE SUD,TRINITY,4272,4688,5007,5323,5585,5809
D,VAN ZANDT,R-P-M WSC,NECHES,2303,2847,3263,3676,4019,4313
D,VAN ZANDT,SOUTH TAWAKONI WSC,SABINE,4261,4844,5289,5731,6098,6412
D,VAN ZANDT,VAN,NECHES,1922,2144,2314,2482,2622,2742
D,VAN ZANDT,VAN,SABINE,1067,1191,1285,1379,1457,1523
D,VAN ZANDT,WILLS POINT,SABINE,1421,1435,1446,1456,1465,1473
